episode,reward,epsilon
480,-18.0,0.6126085
481,-21.0,0.6117840999999999
482,-21.0,0.6110641
483,-19.0,0.6101695
484,-21.0,0.6092911000000001
485,-21.0,0.6084379
486,-21.0,0.6075901
487,-20.0,0.606781
488,-20.0,0.605926
489,-20.0,0.6049530999999999
490,-20.0,0.6040279
491,-21.0,0.6031306
492,-20.0,0.6022423
493,-20.0,0.6013081
494,-20.0,0.6003963999999999
495,-21.0,0.5996134
496,-20.0,0.5987593
497,-20.0,0.5979007000000001
498,-21.0,0.5971321
499,-21.0,0.5964202000000001
500,-20.0,0.5954932
501,-21.0,0.5947894
502,-21.0,0.5940046
503,-20.0,0.59311
504,-20.0,0.5923342
505,-20.0,0.5914413999999999
506,-21.0,0.5906053
507,-21.0,0.5896522
508,-19.0,0.5887017999999999
509,-18.0,0.5876101
510,-19.0,0.5866453
511,-20.0,0.5858227
512,-21.0,0.584947
513,-17.0,0.5837824
514,-21.0,0.5830948
515,-21.0,0.5823289
516,-20.0,0.5815189000000001
517,-21.0,0.5806954
518,-20.0,0.5798601999999999
519,-19.0,0.5789791
520,-20.0,0.5780053
521,-21.0,0.5770333
522,-21.0,0.5763052
523,-21.0,0.5755483
524,-20.0,0.5747887
525,-21.0,0.5740489
526,-20.0,0.5730957999999999
527,-19.0,0.5721805
528,-20.0,0.5711707
529,-21.0,0.5703463
530,-21.0,0.5694715
531,-21.0,0.5687173
532,-21.0,0.5679631
533,-20.0,0.5671243
534,-21.0,0.5662261
535,-21.0,0.5652865
536,-21.0,0.5644333
537,-19.0,0.5635018
538,-18.0,0.5624677
539,-21.0,0.5616667
540,-21.0,0.5608855
541,-21.0,0.5601025
542,-17.0,0.5590090000000001
543,-21.0,0.5581891
544,-20.0,0.5573944
545,-21.0,0.5565934
546,-19.0,0.5557627
547,-19.0,0.5548393
548,-21.0,0.5540275
549,-19.0,0.5530537
550,-21.0,0.552241
551,-21.0,0.5514228999999999
552,-21.0,0.5505076
553,-19.0,0.549532
554,-20.0,0.5485986999999999
555,-20.0,0.5477392000000001
556,-21.0,0.5469454
557,-20.0,0.5461003
558,-19.0,0.5450617
559,-21.0,0.5442058
560,-21.0,0.5433958000000001
561,-20.0,0.5423743000000001
562,-20.0,0.5415102999999999
563,-20.0,0.5404897
564,-21.0,0.5396599
565,-21.0,0.5387842
566,-21.0,0.5378842
567,-21.0,0.5369599
568,-21.0,0.5361958
569,-21.0,0.5354011
570,-21.0,0.534628
571,-20.0,0.5338432
572,-19.0,0.5329288
573,-21.0,0.53209
574,-21.0,0.5311207
575,-21.0,0.5302315
576,-20.0,0.5293117
577,-21.0,0.5284719999999999
578,-20.0,0.5276179
579,-18.0,0.5266468
580,-20.0,0.5256568
581,-20.0,0.5247811
582,-21.0,0.5240161
583,-21.0,0.5232835
584,-21.0,0.522343
585,-21.0,0.5215951000000001
586,-20.0,0.5206906
587,-21.0,0.5198086
588,-21.0,0.5190544
589,-21.0,0.518077
590,-17.0,0.5168539
591,-21.0,0.5160385000000001
592,-19.0,0.5151087999999999
593,-20.0,0.5142367
594,-19.0,0.5131216
595,-21.0,0.5122557999999999
596,-20.0,0.5111524000000001
597,-21.0,0.5102416000000001
598,-21.0,0.5093668
599,-20.0,0.5084326
600,-20.0,0.5073688000000001
601,-17.0,0.5062006
602,-21.0,0.5053879
603,-19.0,0.5043331
604,-19.0,0.5033565999999999
605,-21.0,0.5024358999999999
606,-18.0,0.5013334
607,-20.0,0.5005215999999999
608,-20.0,0.4996081
609,-20.0,0.4987035999999999
610,-21.0,0.49796739999999995
611,-20.0,0.49695219999999996
612,-21.0,0.496216
613,-21.0,0.49530070000000004
614,-20.0,0.49440609999999996
615,-20.0,0.49345930000000005
616,-20.0,0.49245039999999995
617,-19.0,0.49153329999999995
618,-19.0,0.49028320000000003
619,-18.0,0.48905109999999996
620,-20.0,0.4882177
621,-21.0,0.4873662999999999
622,-21.0,0.4865499999999999
623,-20.0,0.4856401
624,-20.0,0.48472930000000003
625,-20.0,0.4835863
626,-21.0,0.4826863
627,-20.0,0.4815532
628,-20.0,0.4804677999999999
629,-20.0,0.4793518
630,-21.0,0.4785147999999999
631,-21.0,0.4776678999999999
632,-19.0,0.4762864
633,-21.0,0.47547549999999994
634,-21.0,0.47469249999999996
635,-21.0,0.47382219999999997
636,-21.0,0.4728475
637,-19.0,0.47178010000000004
638,-21.0,0.47085940000000004
639,-20.0,0.46984060000000005
640,-21.0,0.46882630000000003
641,-21.0,0.46793260000000003
642,-20.0,0.466885
643,-20.0,0.4659472
644,-20.0,0.46492659999999997
645,-20.0,0.4639654
646,-19.0,0.4629295
647,-21.0,0.461998
648,-21.0,0.46116009999999996
649,-20.0,0.4601124999999999
650,-19.0,0.4590208
651,-20.0,0.45784270000000005
652,-20.0,0.4567888
653,-18.0,0.455572
654,-19.0,0.4545523
655,-20.0,0.45349839999999997
656,-20.0,0.4526245
657,-19.0,0.4515013
658,-20.0,0.4505023
659,-20.0,0.4493728
660,-20.0,0.4483243
661,-19.0,0.44727759999999994
662,-20.0,0.4462767999999999
663,-20.0,0.44522470000000003
664,-21.0,0.4443211
665,-18.0,0.4431691
666,-20.0,0.44218269999999993
667,-21.0,0.44116659999999996
668,-20.0,0.4402539999999999
669,-21.0,0.4393135
670,-21.0,0.4385008
671,-19.0,0.4374217
672,-19.0,0.43633539999999993
673,-19.0,0.43525270000000005
674,-20.0,0.43433920000000004
675,-19.0,0.4333113999999999
676,-20.0,0.4322926
677,-21.0,0.43111810000000006
678,-20.0,0.43011999999999995
679,-18.0,0.42893919999999996
680,-19.0,0.42773589999999995
681,-21.0,0.4268529999999999
682,-21.0,0.425926
683,-20.0,0.4250305
684,-20.0,0.424045
685,-18.0,0.423037
686,-19.0,0.4221406
687,-15.0,0.42076179999999996
688,-19.0,0.4198033
689,-20.0,0.4188529
690,-20.0,0.4177693
691,-21.0,0.41684679999999996
692,-21.0,0.41603499999999993
693,-21.0,0.41500629999999994
694,-21.0,0.41381650000000003
695,-19.0,0.412516
696,-19.0,0.41159710000000005
697,-19.0,0.4103542
698,-21.0,0.40926339999999994
699,-18.0,0.4081618
700,-21.0,0.40717899999999996
701,-20.0,0.4061287
702,-19.0,0.40507840000000006
703,-15.0,0.40365909999999994
704,-20.0,0.4026915999999999
705,-19.0,0.40172589999999997
706,-19.0,0.40050550000000007
707,-20.0,0.39950470000000005
708,-19.0,0.39866409999999997
709,-20.0,0.3976434999999999
710,-20.0,0.3966967
711,-19.0,0.3954898
712,-21.0,0.39455379999999995
713,-17.0,0.39336309999999997
714,-20.0,0.3923443
715,-16.0,0.3907648
716,-21.0,0.3898558
717,-20.0,0.3886921
718,-21.0,0.38779659999999994
719,-18.0,0.38673820000000003
720,-21.0,0.3858210999999999
721,-21.0,0.38494359999999994
722,-20.0,0.3838051
723,-19.0,0.38290420000000003
724,-20.0,0.38174050000000004
725,-20.0,0.3807847
726,-21.0,0.3800188
727,-21.0,0.3790737999999999
728,-20.0,0.3780055
729,-19.0,0.37696779999999996
730,-20.0,0.3760155999999999
731,-20.0,0.3750238
732,-21.0,0.3740032
733,-21.0,0.37312750000000006
734,-21.0,0.371908
735,-21.0,0.37104039999999994
736,-20.0,0.37009630000000004
737,-20.0,0.3690901
738,-21.0,0.36810909999999997
739,-21.0,0.3672487
740,-17.0,0.3660705999999999
741,-17.0,0.36484930000000004
742,-19.0,0.3637980999999999
743,-21.0,0.36278560000000004
744,-20.0,0.36186039999999997
745,-18.0,0.3607156
746,-21.0,0.35971299999999995
747,-19.0,0.3586465
748,-18.0,0.35748459999999993
749,-21.0,0.3566332
750,-19.0,0.35536239999999997
751,-21.0,0.3543120999999999
752,-19.0,0.35335269999999996
753,-18.0,0.35209899999999994
754,-20.0,0.3511504
755,-17.0,0.3500776
756,-17.0,0.3486699999999999
757,-19.0,0.34756300000000007
758,-20.0,0.34652800000000006
759,-18.0,0.34547229999999995
760,-18.0,0.34427169999999996
761,-18.0,0.3431970999999999
762,-18.0,0.3418561
763,-21.0,0.3408202
764,-21.0,0.33984099999999995
765,-20.0,0.33865030000000007
766,-19.0,0.33733899999999994
767,-21.0,0.33650290000000005
768,-19.0,0.3352771
769,-20.0,0.3343258
770,-21.0,0.3332196999999999
771,-18.0,0.3318922000000001
772,-20.0,0.33085719999999996
773,-21.0,0.32962059999999993
774,-21.0,0.3288196
775,-20.0,0.32777559999999994
776,-19.0,0.32680359999999997
777,-19.0,0.32570829999999995
778,-21.0,0.3248191
779,-19.0,0.32344660000000003
780,-21.0,0.3222613
781,-19.0,0.32123709999999994
782,-19.0,0.320086
783,-20.0,0.31894389999999995
784,-21.0,0.31788189999999994
785,-20.0,0.3167506
786,-20.0,0.31552389999999997
787,-21.0,0.3142792
788,-20.0,0.3129463
789,-21.0,0.31191669999999994
790,-20.0,0.310663
791,-21.0,0.30970359999999997
792,-21.0,0.30880719999999995
793,-17.0,0.30769389999999996
794,-20.0,0.30666340000000003
795,-21.0,0.30570759999999997
796,-20.0,0.30465549999999997
797,-20.0,0.30353949999999996
798,-20.0,0.3026512
799,-20.0,0.3015388
800,-21.0,0.30065949999999997
801,-18.0,0.2991853
802,-18.0,0.2980305999999999
803,-20.0,0.29670129999999995
804,-19.0,0.2956365999999999
805,-21.0,0.2944593999999999
806,-19.0,0.29336320000000005
807,-15.0,0.2918305
808,-20.0,0.29084770000000004
809,-21.0,0.28988649999999994
810,-20.0,0.2887894
811,-20.0,0.28760949999999996
812,-21.0,0.2866059999999999
813,-19.0,0.2854063
814,-20.0,0.2842461999999999
815,-20.0,0.2829979
816,-20.0,0.2819224
817,-18.0,0.28075149999999993
818,-21.0,0.27964
819,-19.0,0.27831609999999996
820,-20.0,0.2769463
821,-20.0,0.275941
822,-21.0,0.27487360000000005
823,-20.0,0.27370630000000007
824,-18.0,0.27259750000000005
825,-21.0,0.2716588
826,-20.0,0.27039879999999994
827,-20.0,0.269335
828,-20.0,0.2682253
829,-20.0,0.2671696
830,-19.0,0.26597800000000005
831,-19.0,0.26498350000000004
832,-16.0,0.2637469
833,-20.0,0.2625931
834,-20.0,0.2612107
835,-19.0,0.2597752
836,-21.0,0.258787
837,-16.0,0.25754679999999996
838,-20.0,0.25666659999999997
839,-20.0,0.25549389999999994
840,-19.0,0.2543617
841,-21.0,0.2533069
842,-19.0,0.25229080000000004
843,-20.0,0.2512063
844,-21.0,0.2502883
845,-20.0,0.249112
846,-18.0,0.24787269999999995
847,-20.0,0.24675760000000002
848,-20.0,0.24568029999999996
849,-19.0,0.24450400000000005
850,-18.0,0.2433898
851,-19.0,0.24210189999999998
852,-19.0,0.2409985
853,-20.0,0.23992749999999996
854,-18.0,0.23863060000000003
855,-21.0,0.23747859999999998
856,-20.0,0.23620509999999995
857,-19.0,0.2346661
858,-19.0,0.23329539999999993
859,-21.0,0.23238910000000002
860,-20.0,0.23137029999999992
861,-18.0,0.23001129999999992
862,-19.0,0.2287441
863,-20.0,0.22772440000000005
864,-20.0,0.2267578
865,-19.0,0.2254527999999999
866,-17.0,0.2241208
867,-19.0,0.22288600000000003
868,-19.0,0.22163049999999995
869,-19.0,0.22043440000000003
870,-20.0,0.21938229999999992
871,-18.0,0.21783339999999995
872,-20.0,0.21679930000000003
873,-18.0,0.21539260000000005
874,-20.0,0.21437289999999998
875,-19.0,0.21283569999999996
876,-20.0,0.21160629999999991
877,-17.0,0.21031659999999996
878,-15.0,0.20886399999999994
879,-17.0,0.2076273999999999
880,-18.0,0.20615229999999996
881,-18.0,0.20473569999999996
882,-19.0,0.20367009999999997
883,-20.0,0.20240740000000002
884,-19.0,0.20127609999999996
885,-20.0,0.2001286
886,-19.0,0.19907379999999997
887,-18.0,0.1976895999999999
888,-19.0,0.19616049999999996
889,-18.0,0.1949356
890,-19.0,0.19366660000000002
891,-20.0,0.19237689999999996
892,-19.0,0.19107639999999992
893,-18.0,0.18993159999999998
894,-20.0,0.18862480000000004
895,-19.0,0.18730900000000006
896,-17.0,0.18586270000000005
897,-19.0,0.18462519999999993
898,-20.0,0.18322839999999996
899,-21.0,0.18208990000000003
900,-17.0,0.18071289999999995
901,-19.0,0.17942589999999992
902,-19.0,0.17820369999999996
903,-21.0,0.17713539999999994
904,-18.0,0.17573949999999994
905,-17.0,0.17414739999999995
906,-21.0,0.17292249999999998
907,-19.0,0.17175610000000008
908,-20.0,0.17039439999999995
909,-19.0,0.16907680000000003
910,-17.0,0.16744419999999993
911,-19.0,0.16595110000000002
912,-20.0,0.1648288
913,-19.0,0.16341670000000008
914,-17.0,0.16202169999999994
915,-18.0,0.16081839999999992
916,-20.0,0.15963850000000002
917,-19.0,0.15839380000000003
918,-20.0,0.15730299999999997
919,-21.0,0.15628779999999998
920,-19.0,0.1550764
921,-20.0,0.15409000000000006
922,-19.0,0.15287050000000002
923,-20.0,0.1518085
924,-21.0,0.15080320000000003
925,-19.0,0.1496808999999999
926,-18.0,0.1484938
927,-17.0,0.1472797
928,-19.0,0.14592340000000004
929,-18.0,0.1445923
930,-18.0,0.1431289
931,-18.0,0.1418608
932,-20.0,0.14050269999999998
933,-20.0,0.1393920999999999
934,-19.0,0.13819419999999993
935,-21.0,0.13713039999999999
936,-21.0,0.13616109999999992
937,-18.0,0.13499379999999994
938,-21.0,0.13393089999999996
939,-18.0,0.1326853
940,-17.0,0.13108600000000004
941,-20.0,0.12979989999999997
942,-19.0,0.12841120000000006
943,-19.0,0.12711879999999998
944,-17.0,0.12558250000000004
945,-19.0,0.12444310000000003
946,-18.0,0.12308499999999989
947,-18.0,0.12151990000000001
948,-18.0,0.11980630000000003
949,-20.0,0.1184788
950,-18.0,0.11696589999999996
951,-17.0,0.11544940000000004
952,-17.0,0.11410389999999992
953,-19.0,0.11283399999999999
954,-20.0,0.1114948
955,-20.0,0.10989549999999992
956,-20.0,0.10851219999999995
957,-20.0,0.10717480000000001
958,-18.0,0.10557279999999991
959,-16.0,0.10385830000000007
960,-16.0,0.10227520000000001
961,-15.0,0.10065879999999994
962,-20.0,0.09999999999999998
963,-16.0,0.09999999999999998
964,-16.0,0.09999999999999998
965,-19.0,0.09999999999999998
966,-20.0,0.09999999999999998
967,-19.0,0.09999999999999998
968,-19.0,0.09999999999999998
969,-15.0,0.09999999999999998
970,-18.0,0.09999999999999998
971,-19.0,0.09999999999999998
972,-21.0,0.09999999999999998
973,-17.0,0.09999999999999998
974,-20.0,0.09999999999999998
975,-17.0,0.09999999999999998
976,-19.0,0.09999999999999998
977,-17.0,0.09999999999999998
978,-15.0,0.09999999999999998
979,-19.0,0.09999999999999998
980,-18.0,0.09999999999999998
981,-16.0,0.09999999999999998
982,-20.0,0.09999999999999998
983,-12.0,0.09999999999999998
984,-20.0,0.09999999999999998
985,-20.0,0.09999999999999998
986,-20.0,0.09999999999999998
987,-18.0,0.09999999999999998
988,-19.0,0.09999999999999998
989,-16.0,0.09999999999999998
990,-19.0,0.09999999999999998
991,-15.0,0.09999999999999998
992,-20.0,0.09999999999999998
993,-17.0,0.09999999999999998
994,-17.0,0.09999999999999998
995,-20.0,0.09999999999999998
996,-20.0,0.09999999999999998
