episode,reward,epsilon
432,6.0,0.3039976
433,0.0,0.302392
434,-2.0,0.3007837
435,0.0,0.29917630000000006
436,0.0,0.2975671
437,12.0,0.2959606
438,2.0,0.2943532
439,0.0,0.29274579999999994
440,3.0,0.2911384
441,-1.0,0.28953280000000003
442,-2.0,0.2879227
443,-1.0,0.2863162
444,0.0,0.2847079
445,-2.0,0.28310230000000003
446,0.0,0.2814939999999999
447,4.0,0.2798866
448,-4.0,0.2782800999999999
449,8.0,0.2766727
450,2.0,0.2750644
451,-1.0,0.2734588
452,2.0,0.27184869999999994
453,8.0,0.27024309999999996
454,2.0,0.26863570000000003
455,6.0,0.26702649999999994
456,9.0,0.26542180000000004
457,2.0,0.26381259999999995
458,-2.0,0.2622052
459,-3.0,0.2605978
460,14.0,0.2589912999999999
461,14.0,0.2573839
462,1.0,0.25577739999999993
463,12.0,0.2541673
464,-1.0,0.25255989999999995
465,-3.0,0.2509534
466,-4.0,0.2493451
467,1.0,0.2477395
468,0.0,0.24613209999999996
469,0.0,0.2445229
470,4.0,0.2429173
471,4.0,0.24130989999999997
472,-1.0,0.23970249999999993
473,0.0,0.23809599999999997
474,5.0,0.2364868
475,10.0,0.2348812
476,3.0,0.2332729
477,6.0,0.23166639999999994
478,10.0,0.2300563
479,7.0,0.22845159999999998
480,0.0,0.22684329999999997
481,9.0,0.22523499999999996
482,2.0,0.22362939999999998
483,3.0,0.22202109999999997
484,4.0,0.22041370000000005
485,4.0,0.21880539999999993
486,0.0,0.21719709999999992
487,5.0,0.2155897
488,-9.0,0.21398229999999996
489,6.0,0.21237669999999997
490,13.0,0.21077020000000002
491,-4.0,0.2091619
492,4.0,0.20755539999999995
493,6.0,0.2059453
494,-5.0,0.20434059999999998
495,1.0,0.20273229999999998
496,8.0,0.20112399999999997
497,-1.0,0.19951569999999996
498,-3.0,0.19791009999999998
499,1.0,0.19630360000000002
500,16.0,0.19469619999999999
501,6.0,0.19308879999999995
502,9.0,0.1914787
503,8.0,0.189874
504,9.0,0.18826659999999995
505,9.0,0.18665739999999997
506,6.0,0.18505000000000005
507,5.0,0.18344439999999995
508,7.0,0.18183610000000006
509,-10.0,0.18022689999999997
510,4.0,0.1786204
511,2.0,0.17701389999999995
512,10.0,0.1754074
513,-3.0,0.1737982
514,3.0,0.17219079999999998
515,-1.0,0.17058249999999997
516,5.0,0.16897600000000002
517,0.0,0.16737040000000003
518,4.0,0.16576029999999997
519,7.0,0.16415290000000005
520,11.0,0.16254819999999992
521,13.0,0.16093809999999997
522,12.0,0.15933069999999994
523,-2.0,0.15772599999999992
524,6.0,0.1561186
525,11.0,0.15450940000000002
526,5.0,0.1529011
527,1.0,0.15129550000000003
528,-2.0,0.14968899999999996
529,-1.0,0.14808069999999995
530,11.0,0.1464742
531,25.0,0.1448649999999999
532,17.0,0.14325849999999996
533,7.0,0.14165109999999992
534,11.0,0.14004459999999996
535,9.0,0.13843450000000002
536,-3.0,0.1368298
537,14.0,0.13521969999999994
538,7.0,0.13361409999999996
539,6.0,0.13200670000000003
540,4.0,0.13040019999999997
541,13.0,0.12879280000000004
542,9.0,0.12718450000000003
543,8.0,0.12557799999999997
544,5.0,0.12396969999999996
545,7.0,0.12236140000000006
546,8.0,0.12075579999999997
547,0.0,0.11914570000000002
548,5.0,0.11754009999999993
549,9.0,0.11593089999999995
550,18.0,0.11432350000000002
551,8.0,0.11271880000000001
552,14.0,0.11111139999999997
553,9.0,0.10950130000000002
554,13.0,0.10789570000000004
555,-3.0,0.10628919999999997
556,9.0,0.10467909999999991
557,17.0,0.10307349999999993
558,14.0,0.10146430000000006
559,16.0,0.09999999999999998
560,11.0,0.09999999999999998
561,1.0,0.09999999999999998
562,8.0,0.09999999999999998
563,-3.0,0.09999999999999998
564,8.0,0.09999999999999998
565,22.0,0.09999999999999998
566,7.0,0.09999999999999998
567,8.0,0.09999999999999998
568,2.0,0.09999999999999998
569,3.0,0.09999999999999998
570,12.0,0.09999999999999998
571,0.0,0.09999999999999998
572,22.0,0.09999999999999998
573,2.0,0.09999999999999998
574,4.0,0.09999999999999998
575,10.0,0.09999999999999998
576,-6.0,0.09999999999999998
577,2.0,0.09999999999999998
578,6.0,0.09999999999999998
579,-10.0,0.09999999999999998
580,0.0,0.09999999999999998
581,-2.0,0.09999999999999998
582,-10.0,0.09999999999999998
583,2.0,0.09999999999999998
584,6.0,0.09999999999999998
